Number of paramters: 432961
Epoch 1 Loss: 0.9501, Train: 0.9496, Val: 0.9428 (+-0.0023)
Epoch 24 Loss: 0.3214, Train: 0.3212, Val: 0.3415 (+-0.0026)
Epoch 25 Loss: 0.3081, Train: 0.3082, Val: 0.2852 (+-0.0002)
Epoch 26 Loss: 0.2979, Train: 0.2980, Val: 0.3005 (+-0.0018)
Epoch 27 Loss: 0.2919, Train: 0.2920, Val: 0.4127 (+-0.0096)
Epoch 28 Loss: 0.2890, Train: 0.2891, Val: 0.3016 (+-0.0020)
Epoch 29 Loss: 0.2932, Train: 0.2930, Val: 0.2732 (+-0.0010)
Epoch 30 Loss: 0.2763, Train: 0.2764, Val: 0.2962 (+-0.0004)
Epoch 31 Loss: 0.2715, Train: 0.2715, Val: 0.2738 (+-0.0004)
Epoch 32 Loss: 0.2720, Train: 0.2719, Val: 0.2691 (+-0.0042)
Epoch 33 Loss: 0.2628, Train: 0.2628, Val: 0.2667 (+-0.0052)
Epoch 34 Loss: 0.2728, Train: 0.2729, Val: 0.3189 (+-0.0005)
Epoch 35 Loss: 0.2574, Train: 0.2574, Val: 0.2918 (+-0.0029)
Epoch 36 Loss: 0.2533, Train: 0.2530, Val: 0.2744 (+-0.0022)
Epoch 37 Loss: 0.2527, Train: 0.2528, Val: 0.2931 (+-0.0003)
Epoch 38 Loss: 0.2755, Train: 0.2753, Val: 0.3282 (+-0.0005)
Epoch 39 Loss: 0.2517, Train: 0.2517, Val: 0.2807 (+-0.0002)
Epoch 40 Loss: 0.2443, Train: 0.2444, Val: 0.2484 (+-0.0029)
Epoch 41 Loss: 0.2378, Train: 0.2379, Val: 0.2456 (+-0.0040)
Epoch 42 Loss: 0.2658, Train: 0.2657, Val: 0.2704 (+-0.0019)
Epoch 43 Loss: 0.2384, Train: 0.2384, Val: 0.2819 (+-0.0034)
Epoch 44 Loss: 0.2305, Train: 0.2306, Val: 0.2534 (+-0.0027)
Epoch 45 Loss: 0.2227, Train: 0.2227, Val: 0.2295 (+-0.0001)
Epoch 46 Loss: 0.2269, Train: 0.2269, Val: 0.2391 (+-0.0003)
Epoch 47 Loss: 0.2225, Train: 0.2226, Val: 0.2547 (+-0.0001)
Epoch 48 Loss: 0.2210, Train: 0.2210, Val: 0.2755 (+-0.0010)
Epoch 49 Loss: 0.2198, Train: 0.2200, Val: 0.2292 (+-0.0001)
Epoch 50 Loss: 0.2268, Train: 0.2267, Val: 0.2246 (+-0.0021)
Epoch 51 Loss: 0.2200, Train: 0.2200, Val: 0.2316 (+-0.0023)
Epoch 52 Loss: 0.2110, Train: 0.2110, Val: 0.2547 (+-0.0012)
Epoch 53 Loss: 0.2110, Train: 0.2108, Val: 0.2956 (+-0.0040)
Epoch 54 Loss: 0.2081, Train: 0.2082, Val: 0.2298 (+-0.0001)
Epoch 55 Loss: 0.2053, Train: 0.2054, Val: 0.2477 (+-0.0003)
Epoch 56 Loss: 0.2073, Train: 0.2073, Val: 0.2403 (+-0.0015)
Epoch 57 Loss: 0.2037, Train: 0.2036, Val: 0.2163 (+-0.0046)
Epoch 58 Loss: 0.2095, Train: 0.2095, Val: 0.2148 (+-0.0014)
Epoch 59 Loss: 0.2060, Train: 0.2061, Val: 0.2101 (+-0.0011)
Epoch 60 Loss: 0.2041, Train: 0.2040, Val: 0.2250 (+-0.0019)
Epoch 61 Loss: 0.1928, Train: 0.1928, Val: 0.2192 (+-0.0002)
Epoch 62 Loss: 0.1901, Train: 0.1902, Val: 0.2163 (+-0.0043)
Epoch 63 Loss: 0.1983, Train: 0.1984, Val: 0.2274 (+-0.0041)
Epoch 64 Loss: 0.1967, Train: 0.1968, Val: 0.2012 (+-0.0003)
Epoch 65 Loss: 0.1942, Train: 0.1942, Val: 0.2403 (+-0.0038)
Epoch 66 Loss: 0.1856, Train: 0.1856, Val: 0.2167 (+-0.0061)
Epoch 67 Loss: 0.1874, Train: 0.1873, Val: 0.2381 (+-0.0009)
Epoch 68 Loss: 0.1889, Train: 0.1890, Val: 0.2052 (+-0.0025)
Epoch 69 Loss: 0.1862, Train: 0.1862, Val: 0.2436 (+-0.0008)
Epoch 70 Loss: 0.1801, Train: 0.1801, Val: 0.2129 (+-0.0008)
Epoch 71 Loss: 0.2021, Train: 0.2022, Val: 0.2130 (+-0.0015)
Epoch 72 Loss: 0.1926, Train: 0.1927, Val: 0.2089 (+-0.0050)
Epoch 73 Loss: 0.1826, Train: 0.1826, Val: 0.1973 (+-0.0026)
Epoch 74 Loss: 0.1963, Train: 0.1963, Val: 0.2509 (+-0.0089)
Epoch 75 Loss: 0.1938, Train: 0.1940, Val: 0.1990 (+-0.0029)
Epoch 76 Loss: 0.1782, Train: 0.1783, Val: 0.2108 (+-0.0056)
Epoch 77 Loss: 0.1761, Train: 0.1762, Val: 0.2030 (+-0.0064)
Epoch 78 Loss: 0.1794, Train: 0.1794, Val: 0.1992 (+-0.0006)
Epoch 79 Loss: 0.1778, Train: 0.1779, Val: 0.1950 (+-0.0040)
Epoch 80 Loss: 0.1844, Train: 0.1844, Val: 0.2027 (+-0.0021)
Epoch 81 Loss: 0.1810, Train: 0.1810, Val: 0.2050 (+-0.0031)
Epoch 82 Loss: 0.1753, Train: 0.1734, Val: 0.2015 (+-0.0041)
Epoch 83 Loss: 0.1733, Train: 0.1734, Val: 0.1893 (+-0.0022)
Epoch 84 Loss: 0.1700, Train: 0.1701, Val: 0.2074 (+-0.0040)
Epoch 85 Loss: 0.1691, Train: 0.1691, Val: 0.1866 (+-0.0013)
Epoch 86 Loss: 0.1704, Train: 0.1703, Val: 0.2064 (+-0.0007)
Epoch 87 Loss: 0.1708, Train: 0.1709, Val: 0.1879 (+-0.0007)
Epoch 88 Loss: 0.1685, Train: 0.1685, Val: 0.1980 (+-0.0013)
Epoch 89 Loss: 0.1718, Train: 0.1718, Val: 0.1981 (+-0.0021)
Epoch 90 Loss: 0.1671, Train: 0.1669, Val: 0.2223 (+-0.0010)
Epoch 91 Loss: 0.1655, Train: 0.1654, Val: 0.1842 (+-0.0036)
Epoch 92 Loss: 0.1642, Train: 0.1641, Val: 0.1923 (+-0.0007)
Epoch 93 Loss: 0.1679, Train: 0.1679, Val: 0.1847 (+-0.0019)
Epoch 94 Loss: 0.1636, Train: 0.1637, Val: 0.1924 (+-0.0011)
Epoch 95 Loss: 0.1623, Train: 0.1623, Val: 0.1826 (+-0.0021)
Epoch 96 Loss: 0.1607, Train: 0.1607, Val: 0.1911 (+-0.0026)
Epoch 97 Loss: 0.1618, Train: 0.1619, Val: 0.1920 (+-0.0056)
Epoch 98 Loss: 0.1728, Train: 0.1728, Val: 0.1847 (+-0.0019)
Epoch 99 Loss: 0.1656, Train: 0.1656, Val: 0.1806 (+-0.0026)
Epoch 100 Loss: 0.1582, Train: 0.1582, Val: 0.2090 (+-0.0035)
Epoch 101 Loss: 0.1554, Train: 0.1555, Val: 0.2034 (+-0.0048)
Epoch 102 Loss: 0.1588, Train: 0.1586, Val: 0.1814 (+-0.0023)
Epoch 103 Loss: 0.1588, Train: 0.1588, Val: 0.2263 (+-0.0051)
Epoch 104 Loss: 0.1597, Train: 0.1598, Val: 0.1814 (+-0.0027)
Epoch 105 Loss: 0.1562, Train: 0.1561, Val: 0.1789 (+-0.0002)
Epoch 106 Loss: 0.1595, Train: 0.1595, Val: 0.1755 (+-0.0041)
Epoch 107 Loss: 0.1534, Train: 0.1532, Val: 0.1990 (+-0.0000)
Epoch 108 Loss: 0.1562, Train: 0.1562, Val: 0.1917 (+-0.0033)
Epoch 109 Loss: 0.1528, Train: 0.1528, Val: 0.1901 (+-0.0009)
Epoch 110 Loss: 0.1559, Train: 0.1558, Val: 0.2059 (+-0.0019)
Epoch 111 Loss: 0.1515, Train: 0.1516, Val: 0.2070 (+-0.0039)
Epoch 112 Loss: 0.1539, Train: 0.1535, Val: 0.1876 (+-0.0025)
Epoch 113 Loss: 0.1484, Train: 0.1484, Val: 0.1715 (+-0.0022)
Epoch 114 Loss: 0.1555, Train: 0.1555, Val: 0.1762 (+-0.0017)
Epoch 115 Loss: 0.1619, Train: 0.1619, Val: 0.1968 (+-0.0006)
Epoch 116 Loss: 0.1526, Train: 0.1527, Val: 0.1807 (+-0.0007)
Epoch 117 Loss: 0.1470, Train: 0.1471, Val: 0.1753 (+-0.0049)
Epoch 118 Loss: 0.1481, Train: 0.1480, Val: 0.1841 (+-0.0023)
Epoch 119 Loss: 0.1494, Train: 0.1495, Val: 0.1795 (+-0.0033)
Epoch 120 Loss: 0.1487, Train: 0.1488, Val: 0.1840 (+-0.0001)
Epoch 121 Loss: 0.1452, Train: 0.1451, Val: 0.1819 (+-0.0017)
Epoch 122 Loss: 0.1465, Train: 0.1465, Val: 0.1929 (+-0.0029)
Epoch 123 Loss: 0.1429, Train: 0.1429, Val: 0.1723 (+-0.0006)
Epoch 124 Loss: 0.1437, Train: 0.1437, Val: 0.1775 (+-0.0003)
Epoch   124: reducing learning rate of group 0 to 5.0000e-04.
Epoch 125 Loss: 0.1279, Train: 0.1279, Val: 0.1767 (+-0.0004)
Epoch 126 Loss: 0.1261, Train: 0.1261, Val: 0.1688 (+-0.0037)
Epoch 127 Loss: 0.1275, Train: 0.1276, Val: 0.1694 (+-0.0022)
Epoch 128 Loss: 0.1226, Train: 0.1226, Val: 0.1701 (+-0.0007)
Epoch 129 Loss: 0.1256, Train: 0.1255, Val: 0.1638 (+-0.0016)
Epoch 130 Loss: 0.1231, Train: 0.1231, Val: 0.1708 (+-0.0001)
Epoch 131 Loss: 0.1215, Train: 0.1215, Val: 0.1615 (+-0.0027)
Epoch 132 Loss: 0.1240, Train: 0.1241, Val: 0.1736 (+-0.0000)
Epoch 133 Loss: 0.1227, Train: 0.1227, Val: 0.1644 (+-0.0014)
Epoch 134 Loss: 0.1220, Train: 0.1220, Val: 0.1626 (+-0.0028)
Epoch 135 Loss: 0.1181, Train: 0.1182, Val: 0.1623 (+-0.0017)
Epoch 136 Loss: 0.1220, Train: 0.1220, Val: 0.1894 (+-0.0003)
Epoch 137 Loss: 0.1201, Train: 0.1202, Val: 0.1678 (+-0.0013)
Epoch 138 Loss: 0.1192, Train: 0.1193, Val: 0.1731 (+-0.0058)
Epoch 139 Loss: 0.1174, Train: 0.1174, Val: 0.1685 (+-0.0022)
Epoch 140 Loss: 0.1155, Train: 0.1156, Val: 0.1624 (+-0.0006)
Epoch 141 Loss: 0.1179, Train: 0.1179, Val: 0.1644 (+-0.0032)
Epoch 142 Loss: 0.1167, Train: 0.1168, Val: 0.1633 (+-0.0020)
Epoch   142: reducing learning rate of group 0 to 2.5000e-04.
Epoch 143 Loss: 0.1080, Train: 0.1080, Val: 0.1559 (+-0.0037)
Epoch 144 Loss: 0.1086, Train: 0.1086, Val: 0.1627 (+-0.0007)
Epoch 145 Loss: 0.1052, Train: 0.1052, Val: 0.1571 (+-0.0037)
Epoch 146 Loss: 0.1052, Train: 0.1052, Val: 0.1572 (+-0.0002)
Epoch 147 Loss: 0.1036, Train: 0.1036, Val: 0.1619 (+-0.0027)
Epoch 148 Loss: 0.1073, Train: 0.1074, Val: 0.1570 (+-0.0013)
Epoch 149 Loss: 0.1063, Train: 0.1063, Val: 0.1619 (+-0.0025)
Epoch 150 Loss: 0.1054, Train: 0.1053, Val: 0.1531 (+-0.0004)
Epoch 151 Loss: 0.1033, Train: 0.1034, Val: 0.1532 (+-0.0033)
Epoch 152 Loss: 0.1054, Train: 0.1052, Val: 0.1547 (+-0.0008)
Epoch 153 Loss: 0.1041, Train: 0.1041, Val: 0.1521 (+-0.0012)
Epoch 154 Loss: 0.1040, Train: 0.1040, Val: 0.1498 (+-0.0005)
Epoch 155 Loss: 0.1028, Train: 0.1029, Val: 0.1507 (+-0.0011)
Epoch 156 Loss: 0.1021, Train: 0.1021, Val: 0.1543 (+-0.0039)
Epoch 157 Loss: 0.1031, Train: 0.1031, Val: 0.1526 (+-0.0006)
Epoch 158 Loss: 0.1023, Train: 0.1022, Val: 0.1674 (+-0.0013)
Epoch 159 Loss: 0.1012, Train: 0.1012, Val: 0.1606 (+-0.0015)
Epoch 160 Loss: 0.0996, Train: 0.0996, Val: 0.1587 (+-0.0016)
Epoch 161 Loss: 0.0995, Train: 0.0995, Val: 0.1561 (+-0.0006)
Epoch 162 Loss: 0.0987, Train: 0.0988, Val: 0.1516 (+-0.0048)
Epoch 163 Loss: 0.1008, Train: 0.1008, Val: 0.1552 (+-0.0002)
Epoch 164 Loss: 0.1014, Train: 0.1014, Val: 0.1543 (+-0.0021)
Epoch 165 Loss: 0.1024, Train: 0.1024, Val: 0.1845 (+-0.0042)
Epoch   165: reducing learning rate of group 0 to 1.2500e-04.
Epoch 166 Loss: 0.0976, Train: 0.0977, Val: 0.1477 (+-0.0012)
Epoch 167 Loss: 0.0962, Train: 0.0962, Val: 0.1514 (+-0.0009)
Epoch 168 Loss: 0.0958, Train: 0.0959, Val: 0.1523 (+-0.0004)
Epoch 169 Loss: 0.0980, Train: 0.0980, Val: 0.1611 (+-0.0025)
Epoch 170 Loss: 0.0950, Train: 0.0950, Val: 0.1562 (+-0.0019)
Epoch 171 Loss: 0.0947, Train: 0.0948, Val: 0.1508 (+-0.0029)
Epoch 172 Loss: 0.0951, Train: 0.0951, Val: 0.1554 (+-0.0020)
Epoch 173 Loss: 0.0931, Train: 0.0931, Val: 0.1557 (+-0.0007)
Epoch 174 Loss: 0.0931, Train: 0.0931, Val: 0.1491 (+-0.0031)
Epoch 175 Loss: 0.0936, Train: 0.0936, Val: 0.1459 (+-0.0017)
Epoch 176 Loss: 0.0923, Train: 0.0923, Val: 0.1462 (+-0.0041)
Epoch 177 Loss: 0.0941, Train: 0.0941, Val: 0.1581 (+-0.0034)
Epoch 178 Loss: 0.0940, Train: 0.0939, Val: 0.1507 (+-0.0024)
Epoch 179 Loss: 0.0931, Train: 0.0926, Val: 0.1457 (+-0.0004)
Epoch 180 Loss: 0.0948, Train: 0.0948, Val: 0.1528 (+-0.0041)
Epoch 181 Loss: 0.0949, Train: 0.0948, Val: 0.1477 (+-0.0022)
Epoch 182 Loss: 0.0928, Train: 0.0929, Val: 0.1513 (+-0.0030)
Epoch 183 Loss: 0.0919, Train: 0.0920, Val: 0.1500 (+-0.0005)
Epoch 184 Loss: 0.0939, Train: 0.0939, Val: 0.1565 (+-0.0001)
Epoch 185 Loss: 0.0932, Train: 0.0932, Val: 0.1469 (+-0.0020)
Epoch 186 Loss: 0.0928, Train: 0.0929, Val: 0.1511 (+-0.0007)
Epoch 187 Loss: 0.0918, Train: 0.0918, Val: 0.1437 (+-0.0005)
Epoch 188 Loss: 0.0943, Train: 0.0944, Val: 0.1512 (+-0.0029)
Epoch 189 Loss: 0.0913, Train: 0.0914, Val: 0.1557 (+-0.0012)
Epoch 190 Loss: 0.0905, Train: 0.0906, Val: 0.1487 (+-0.0007)
Epoch 191 Loss: 0.0924, Train: 0.0924, Val: 0.1506 (+-0.0013)
Epoch 192 Loss: 0.0918, Train: 0.0919, Val: 0.1463 (+-0.0001)
Epoch 193 Loss: 0.0909, Train: 0.0908, Val: 0.1488 (+-0.0032)
Epoch 194 Loss: 0.0910, Train: 0.0910, Val: 0.1456 (+-0.0003)
Epoch 195 Loss: 0.0922, Train: 0.0921, Val: 0.1535 (+-0.0002)
Epoch 196 Loss: 0.0926, Train: 0.0926, Val: 0.1485 (+-0.0023)
Epoch 197 Loss: 0.0915, Train: 0.0916, Val: 0.1463 (+-0.0003)
Epoch 198 Loss: 0.0919, Train: 0.0918, Val: 0.1526 (+-0.0002)
Epoch   198: reducing learning rate of group 0 to 6.2500e-05.
Epoch 199 Loss: 0.0901, Train: 0.0901, Val: 0.1514 (+-0.0006)
Epoch 200 Loss: 0.0902, Train: 0.0902, Val: 0.1548 (+-0.0075)
Epoch 201 Loss: 0.0896, Train: 0.0895, Val: 0.1483 (+-0.0003)
Epoch 202 Loss: 0.0880, Train: 0.0880, Val: 0.1418 (+-0.0011)
Epoch 203 Loss: 0.0874, Train: 0.0874, Val: 0.1479 (+-0.0018)
Epoch 204 Loss: 0.0897, Train: 0.0897, Val: 0.1516 (+-0.0018)
Epoch 205 Loss: 0.0889, Train: 0.0889, Val: 0.1475 (+-0.0016)
Epoch 206 Loss: 0.0871, Train: 0.0871, Val: 0.1481 (+-0.0004)
Epoch 207 Loss: 0.0877, Train: 0.0877, Val: 0.1465 (+-0.0012)
Epoch 208 Loss: 0.0882, Train: 0.0882, Val: 0.1432 (+-0.0003)
Epoch 209 Loss: 0.0895, Train: 0.0895, Val: 0.1475 (+-0.0000)
Epoch 210 Loss: 0.0874, Train: 0.0874, Val: 0.1532 (+-0.0028)
Epoch 211 Loss: 0.0865, Train: 0.0865, Val: 0.1492 (+-0.0011)
Epoch 212 Loss: 0.0875, Train: 0.0874, Val: 0.1499 (+-0.0000)
Epoch 213 Loss: 0.0869, Train: 0.0869, Val: 0.1535 (+-0.0017)
Epoch   213: reducing learning rate of group 0 to 3.1250e-05.
Epoch 214 Loss: 0.0868, Train: 0.0868, Val: 0.1508 (+-0.0024)
Epoch 215 Loss: 0.0862, Train: 0.0861, Val: 0.1445 (+-0.0009)
Epoch 216 Loss: 0.0882, Train: 0.0882, Val: 0.1506 (+-0.0015)
Epoch 217 Loss: 0.0867, Train: 0.0868, Val: 0.1428 (+-0.0020)
Epoch 218 Loss: 0.0859, Train: 0.0860, Val: 0.1505 (+-0.0002)
Epoch 219 Loss: 0.0868, Train: 0.0868, Val: 0.1447 (+-0.0054)
Epoch 220 Loss: 0.0874, Train: 0.0874, Val: 0.1462 (+-0.0008)
Epoch 221 Loss: 0.0849, Train: 0.0849, Val: 0.1427 (+-0.0004)
Epoch 222 Loss: 0.0857, Train: 0.0856, Val: 0.1444 (+-0.0012)
Epoch 223 Loss: 0.0875, Train: 0.0875, Val: 0.1420 (+-0.0004)
Epoch 224 Loss: 0.0854, Train: 0.0854, Val: 0.1468 (+-0.0051)
Epoch   224: reducing learning rate of group 0 to 1.5625e-05.
Epoch 225 Loss: 0.0855, Train: 0.0855, Val: 0.1448 (+-0.0001)
Epoch 226 Loss: 0.0851, Train: 0.0851, Val: 0.1468 (+-0.0026)
Epoch 227 Loss: 0.0849, Train: 0.0849, Val: 0.1461 (+-0.0028)
Epoch 228 Loss: 0.0861, Train: 0.0861, Val: 0.1469 (+-0.0025)
Epoch 229 Loss: 0.0835, Train: 0.0835, Val: 0.1447 (+-0.0008)
Epoch 230 Loss: 0.0858, Train: 0.0859, Val: 0.1447 (+-0.0000)
Epoch 231 Loss: 0.0836, Train: 0.0836, Val: 0.1435 (+-0.0002)
Epoch 232 Loss: 0.0853, Train: 0.0854, Val: 0.1455 (+-0.0023)
Epoch 233 Loss: 0.0846, Train: 0.0846, Val: 0.1456 (+-0.0008)
